file_path,mean,std,shape
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-8.jpg,[ 66.40450921 113.85898838 132.4511672 ],[67.86511858 69.16291943 69.87440066],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-17.jpg,[ 68.17988713 107.8119906  113.41171496],[74.85933167 68.21801647 66.98587404],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-44.jpg,[ 64.98190747 113.702461   123.71603405],[64.51777467 69.45671676 71.06509364],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-15.jpg,[ 72.50992031 116.06626953 127.55235276],[74.88811213 68.87475959 68.22304435],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-34.jpg,[ 84.61858907 113.47544446 128.38538288],[76.95277044 71.40326853 69.82650461],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-20.jpg,[ 88.82585275 114.66622665 125.58310877],[78.005889  72.1565685 70.8122065],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-29.jpg,[ 76.94829008 118.50757875 127.08214681],[77.38142623 67.67425341 66.64789219],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-21.jpg,[ 80.34146086 115.0784588  132.08429292],[70.63420784 68.87502762 70.90081325],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-28.jpg,[ 71.20037238 115.48800551 126.52570598],[76.04755994 68.18861059 67.31662577],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-14.jpg,[ 81.07626513 118.06901583 125.51509444],[80.38700195 69.34124112 67.19599024],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-45.jpg,[ 56.00825055 116.42115671 123.65735287],[61.61490693 68.31442926 69.62059919],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-9.jpg,[ 75.67024756 118.4238912  134.09673136],[67.78428413 64.73799313 66.69661283],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-51.jpg,[ 72.74507626 114.07270375 118.98220125],[74.09117442 67.53166268 64.34860715],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-16.jpg,[ 76.27180202 114.22448848 118.31067712],[78.13587267 67.42063871 67.41312228],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-54.jpg,[ 71.59407331 111.0385622  115.14269852],[69.44817544 65.80476656 65.58940349],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-40.jpg,[ 66.08476197 112.2848318  120.94218138],[69.55568183 67.19786866 67.01885741],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-6.jpg,[ 67.15558936 113.11657984 132.84307165],[68.53204813 69.68447934 72.29556965],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-54.jpg,[ 95.2772929  117.70091935 128.7160621 ],[81.97616205 70.37349021 67.52817432],"(4032, 3024, 3)"
